p_cum,p_max,id_station,operateur,amenageur,longitude,latitude
2000.0,250.0,FRTSLP34049,Tesla,Tesla,45.553179,45.553179
46.0,24.0,FRS77E77127001,Bouygues E&S,Ecocharge77,2.697092,48.668724
36.0,18.0,FRS77E77053004,Bouygues E&S,Ecocharge77,2.609214,48.69102
36.0,18.0,FRS77E77451001,Bouygues E&S,Ecocharge77,3.068419,48.92791
36.0,18.0,FRS77E77284001,Bouygues E&S,Ecocharge77,2.902139,48.943699
36.0,18.0,FRS77E77528001,Bouygues E&S,Ecocharge77,2.664648,48.571087
36.0,18.0,FRS77E77131001,Bouygues E&S,Ecocharge77,3.085838,48.81382
1384.5,187.5,FRPD1PITMMTC,Power Dot France,Power Dot France,1.246788,43.964628
288.0,50.0,FRPD1PCORVYR,Power Dot France,Power Dot France,2.53516,48.683303
432.0,120.0,FRPD1PBBFBET,Power Dot France,Power Dot France,4.959169,48.649863
632.0,200.0,FRPD1PITMPDC,Power Dot France,Power Dot France,3.242467,45.800158
122.0,50.0,FRPD1PSYUGCH,Power Dot France,Power Dot France,4.984437,47.234478
36.0,18.0,FRS77E77291001,Bouygues E&S,Ecocharge77,2.591242,49.017696
272.0,100.0,FRPD1PUBSVAR,Power Dot France,Power Dot France,1.455166,45.191778
36.0,18.0,FRS77E77457001,Bouygues E&S,Ecocharge77,2.717254,48.657776
366.0,50.0,FRPD1PIMCVER,Power Dot France,Power Dot France,1.370461,48.718601
742.0,200.0,FRPD1PMATAUB,Power Dot France,Power Dot France,3.236496,50.334167
122.0,50.0,FRPD1PITMSNZ,Power Dot France,Power Dot France,-2.238381,47.263336
3000.0,250.0,FRTSLP30248,Tesla,Tesla,43.95773,43.95773
672.0,200.0,FRPD1PETXMTV,Power Dot France,Power Dot France,0.190331,49.523734
672.0,200.0,FRPD1PBRIISS,Power Dot France,Power Dot France,2.006685,46.950522
7000.0,250.0,FRTSLP5367,Tesla,Tesla,44.675244,44.675244
444.0,100.0,FRPD1PHLIGPS,Power Dot France,Power Dot France,7.697577,48.510363
36.0,18.0,FRS77E77359001,Bouygues E&S,Ecocharge77,2.552458,48.474224
36.0,18.0,FRS77E77031001,Bouygues E&S,Ecocharge77,2.938246,48.675091
1216.0,175.0,FRPD1PHF1CMF,Power Dot France,Power Dot France,3.140534,45.785687
432.0,120.0,FRPD1PLABVAN,Power Dot France,Power Dot France,-2.789267,47.667516
672.0,200.0,FRPD1PBWNSEL,Power Dot France,Power Dot France,7.42364,48.255447
572.0,100.0,FRPD1PIBSAVI,Power Dot France,Power Dot France,4.844205,43.926319
3000.0,150.0,FRTSLP3319,Tesla,Tesla,46.496391,46.496391
102.0,40.0,FRPD1PITMMBL,Power Dot France,Power Dot France,6.792553,47.503541
262.0,120.0,FRPD1PCLBSTL,Power Dot France,Power Dot France,-0.49174,44.901718
88.0,22.0,FRPD1PSIMFRDEV,Power Dot France,Power Dot France,5.889694,45.594984
36.0,18.0,FRS77E77341001,Bouygues E&S,Ecocharge77,3.35106,48.45281
7000.0,250.0,FRTSLP30207,Tesla,Tesla,43.980282,43.980282
44.0,22.0,FRS77E77316002,Bouygues E&S,Ecocharge77,2.81331339,48.3730084
90.0,24.0,FRS77E77131003,Bouygues E&S,Ecocharge77,3.0876685,48.8119668
534.0,120.0,FRPD1PITMCON,Power Dot France,Power Dot France,-3.893978,47.869269
1322.0,200.0,FRPD1PKFCESS,Power Dot France,Power Dot France,6.246837,48.710291
372.0,100.0,FRPD1PCLIEAG,Power Dot France,Power Dot France,0.629226,44.185944
8000.0,250.0,FRTSLP20437,Tesla,Tesla,44.036554,44.036554
632.0,200.0,FRPD1PCRFSAL,Power Dot France,Power Dot France,-0.873671,44.546977
5000.0,250.0,FRTSLP17477,Tesla,Tesla,42.775249,42.775249
632.0,200.0,FRPD1PLBCMRL,Power Dot France,Power Dot France,-3.813515,48.596629
2000.0,250.0,FRTSLP34043,Tesla,Tesla,46.340231,46.340231
462.0,160.0,FRPD1PSPOGND,Power Dot France,Power Dot France,1.300347,43.760657
3094.0,200.0,FRPD1PCORFLE,Power Dot France,Power Dot France,3.121182,50.635848
432.0,120.0,FRPD1PMARMAU,Power Dot France,Power Dot France,3.957928,50.281726
400.0,100.0,FRPD1PITMMHG,Power Dot France,Power Dot France,6.653132,48.93329
366.0,50.0,FRPD1PIMCHAZ,Power Dot France,Power Dot France,2.549622,50.737511
36.0,18.0,FRS77E77516001,Bouygues E&S,Ecocharge77,2.895756,48.342731
502.0,120.0,FRPD1PHOLAVI,Power Dot France,Power Dot France,2.817673,50.409548
632.0,200.0,FRPD1PIBSVDA,Power Dot France,Power Dot France,3.142761,50.643382
794.0,100.0,FRPD1PETXBSC,Power Dot France,Power Dot France,5.950243,47.217868
772.0,100.0,FRPD1PETXBRT,Power Dot France,Power Dot France,0.969112,49.531144
632.0,200.0,FRPD1PBLGANG,Power Dot France,Power Dot France,-0.539075,47.448777
44.0,22.0,FRS77E77316005,Bouygues E&S,Ecocharge77,2.826122,48.359825
1098.0,188.0,FRPD1PITMPLT,Power Dot France,Power Dot France,1.308718,43.569101
6000.0,250.0,FRTSLP33176,Tesla,Tesla,43.68814,43.68814
1500.0,150.0,FRTSLP5670,Tesla,Tesla,43.413832,43.413832
272.0,100.0,FRPD1PBRTACH,Power Dot France,Power Dot France,-1.652726,46.602682
500.0,125.0,FRTSLP1760,Tesla,Tesla,48.924817,48.924817
122.0,100.0,FRPD1PGAMSJL,Power Dot France,Power Dot France,0.495406,46.559061
344.0,100.0,FRPD1PCORERM,Power Dot France,Power Dot France,2.246389,48.988611
1200.0,150.0,FRTSLP6308,Tesla,Tesla,48.988703,48.988703
792.0,200.0,FRPD1PACCSTE,Power Dot France,Power Dot France,4.396468,45.459472
36.0,18.0,FRS77E77072001,Bouygues E&S,Ecocharge77,3.459796,48.54184
1047.0,187.5,FRPD1PSYURDS,Power Dot France,Power Dot France,7.358323,47.747224
394.0,100.0,FRPD1PITMLBZ,Power Dot France,Power Dot France,0.922971,43.470219
194.0,100.0,FRPD1PITMBRH,Power Dot France,Power Dot France,7.492593,47.636394
672.0,200.0,FRPD1PESPSMO,Power Dot France,Power Dot France,-1.911214,48.638931
122.0,50.0,FRPD1PITMCOR,Power Dot France,Power Dot France,4.902064,45.659657
4000.0,250.0,FRTSLP3078,Tesla,Tesla,48.494194,48.494194
36.0,18.0,FRS77E77106001,Bouygues E&S,Ecocharge77,3.184065,48.81773
46.0,24.0,FRS77E77006001,Bouygues E&S,Ecocharge77,2.563657,48.409948
672.0,100.0,FRPD1PLCLCHA,Power Dot France,Power Dot France,-1.050761,46.700652
3000.0,250.0,FRTSLP11417,Tesla,Tesla,46.298759,46.298759
748.0,188.0,FRPD1PBRCFIM,Power Dot France,Power Dot France,49.253048,49.253048
324.0,120.0,FRPD1PITMBNL,Power Dot France,Power Dot France,-3.704963,47.926571
747.0,187.5,FRPD1PITMMTG,Power Dot France,Power Dot France,1.153016,45.05648
44.0,22.0,FRS77E77352001,Bouygues E&S,Ecocharge77,2.772659,48.660645
672.0,200.0,FRPD1PINTFAI,Power Dot France,Power Dot France,5.135699,48.787186
36.0,18.0,FRS77E77273001,Bouygues E&S,Ecocharge77,2.771959,49.049637
1200.0,150.0,FRTSLP1771,Tesla,Tesla,47.406928,47.406928
36.0,18.0,FRS77E77022001,Bouygues E&S,Ecocharge77,2.603382,48.44495
122.17025,50.0,FRPD1PGDMAUB,Power Dot France,Power Dot France,3.149158,45.75493
872.0,160.0,FRPD1PACTMRM,Power Dot France,Power Dot France,1.042494,49.474877
36.0,18.0,FRS77E77054001,Bouygues E&S,Ecocharge77,3.021417,48.343342
3000.0,250.0,FRTSLP33158,Tesla,Tesla,47.216835,47.216835
372.0,100.0,FRPD1PKFCBOJ,Power Dot France,Power Dot France,2.422744,47.094473
1500.0,150.0,FRTSLP3318,Tesla,Tesla,50.167321,50.167321
948.0,188.0,FRPD1PBSFRQV,Power Dot France,Power Dot France,5.599204,43.337416
872.0,160.0,FRPD1PMATARR,Power Dot France,Power Dot France,2.788903,50.277402
88.0,22.0,FRPD1PMRGSTB,Power Dot France,Power Dot France,7.745962,48.58211
3000.0,250.0,FRTSLP30243,Tesla,Tesla,43.481932,43.481932
366.0,100.0,FRPD1PCORWIT,Power Dot France,Power Dot France,7.313469,47.809464
122.0,50.0,FRPD1PITMLLB,Power Dot France,Power Dot France,0.531517,49.516155
747.0,187.5,FRPD1PITMDST,Power Dot France,Power Dot France,5.597399,43.389436
122.0,100.0,FRPD1PBDMDR2,Power Dot France,Power Dot France,1.362238,48.74733
632.0,200.0,FRPD1PBRTPPN,Power Dot France,Power Dot France,2.88474,42.659679
1500.0,187.5,FRPD1PLABERK,Power Dot France,Power Dot France,0.45486,44.836667
434.0,120.0,FRPD1PSPULMR,Power Dot France,Power Dot France,-3.720019,48.641981
792.0,200.0,FRPD1PITMLLD,Power Dot France,Power Dot France,0.151974,47.639465
36.0,18.0,FRS77E77266001,Bouygues E&S,Ecocharge77,2.829,48.455761
122.0,50.0,FRPD1PGSTFEW,Power Dot France,Power Dot France,2.900003,50.583715
662.0,160.0,FRPD1PGSTLIV,Power Dot France,Power Dot France,2.552086,48.92545
366.0,50.0,FRPD1PSYUNSN,Power Dot France,Power Dot France,2.562726,48.865822
1072.0,150.0,FRPD1PCOREVR,Power Dot France,Power Dot France,1.133649,49.023354
2238.0,150.0,FRPD1PBDMCAR,Power Dot France,Power Dot France,2.624249,48.520225
748.0,188.0,FRPD1PMBPCAO,Power Dot France,Power Dot France,4.781963,45.804551
2000.0,250.0,FRTSLP5675,Tesla,Tesla,44.202887,44.202887
548.0,188.0,FRPD1PMBRSRC,Power Dot France,Power Dot France,0.343418,49.528182
36.0,18.0,FRS77E77107001,Bouygues E&S,Ecocharge77,2.841548,48.664284
3000.0,150.0,FRTSLP1732,Tesla,Tesla,46.346796,46.346796
322.0,100.0,FRPD1PSYUPXX,Power Dot France,Power Dot France,6.572899,48.109398
36.0,18.0,FRS77E77303001,Bouygues E&S,Ecocharge77,3.427434,48.851772
3000.0,250.0,FRTSLP29777,Tesla,Tesla,49.645036,49.645036
750.0,250.0,FRTSLP427106,Tesla,Tesla,46.217424,46.217424
672.0,200.0,FRPD1PRTPVAG,Power Dot France,Power Dot France,0.881137,44.112488
1082.0,180.0,FRPD1PCORSMA,Power Dot France,Power Dot France,-1.977587,48.60614
250.0,125.0,FRTSLP11193,Tesla,Tesla,50.935041,50.935041
272.0,100.0,FRPD1PCRFPAA,Power Dot France,Power Dot France,-0.877083,45.829849
632.0,200.0,FRPD1PRSTTRG,Power Dot France,Power Dot France,-2.76187,48.489341
1200.0,150.0,FRTSLP6462,Tesla,Tesla,47.234946,47.234946
36.0,18.0,FRS77E77073001,Bouygues E&S,Ecocharge77,3.314407,48.529079
900.0,187.5,FRPD1PMATDIE,Power Dot France,Power Dot France,6.714868,48.81191
632.0,200.0,FRPD1PMATGRN,Power Dot France,Power Dot France,2.74085,50.446492
372.0,100.0,FRPD1PSYUTLG,Power Dot France,Power Dot France,6.175958,49.242403
632.0,200.0,FRPD1PMRCVFT,Power Dot France,Power Dot France,5.166847,45.627215
3000.0,250.0,FRTSLP11192,Tesla,Tesla,48.82751,48.82751
294.0,100.0,FRPD1PCOHEPN,Power Dot France,Power Dot France,1.831528,48.956823
482.0,120.0,FRPD1PIBICRO,Power Dot France,Power Dot France,5.889822,45.271943
632.0,200.0,FRPD1PITMSVS,Power Dot France,Power Dot France,5.162487,46.12846
502.0,120.0,FRPD1PMARGAU,Power Dot France,Power Dot France,3.28848,49.833902
264.0,60.0,FRPD1PBRCEST,Power Dot France,Power Dot France,0.760716,43.116064
36.0,18.0,FRS77E77301001,Bouygues E&S,Ecocharge77,3.438183,48.694653
44.0,22.0,FRS77E77284003,Bouygues E&S,Ecocharge77,2.882553,48.967475
4000.0,250.0,FRTSLP34042,Tesla,Tesla,45.011961,45.011961
572.0,100.0,FRPD1PIMCDIJ,Power Dot France,Power Dot France,5.029678,47.354847
1691.0,187.5,FRPD1PGRACHA,Power Dot France,Power Dot France,0.357958,46.649006
4000.0,250.0,FRTSLP30252,Tesla,Tesla,51.005494,51.005494
194.0,50.0,FRPD1PECACOL,Power Dot France,Power Dot France,7.379145,48.079538
36.0,18.0,FRS77E77385001,Bouygues E&S,Ecocharge77,3.233131,48.848412
697.0,125.0,FRPD1PITMSJV,Power Dot France,Power Dot France,4.096844,48.280868
5000.0,250.0,FRTSLP20265,Tesla,Tesla,43.11655,43.11655
22.0,22.0,FRPD1PMARGCL,Power Dot France,Power Dot France,3.280572,49.829869
372.0,100.0,FRPD1PMATCUQ,Power Dot France,Power Dot France,1.624372,50.506662
2194.0,200.0,FRPD1PCHAVDB,Power Dot France,Power Dot France,5.948364,49.254202
7250.0,250.0,FRTSLP17341,Tesla,Tesla,48.053197,48.053197
987.0,187.5,FRPD1PCHABRI,Power Dot France,Power Dot France,5.944852,49.25475
36.0,18.0,FRS77E77518001,Bouygues E&S,Ecocharge77,2.599086,48.494175
222.0,100.0,FRPD1PIMCSRT,Power Dot France,Power Dot France,2.20574,48.948018
572.0,100.0,FRPD1PLEOBRB,Power Dot France,Power Dot France,2.346271,47.048036
36.0,18.0,FRS77E77480001,Bouygues E&S,Ecocharge77,2.891339,48.44434
44.0,22.0,FRS77E77226001,Bouygues E&S,Ecocharge77,2.765274,48.448474
172.0,100.0,FRPD1PMRBDOM,Power Dot France,Power Dot France,6.348528,48.623363
500.0,125.0,FRTSLP2819,Tesla,Tesla,43.66792,43.66792
872.0,160.0,FRPD1PITMTRY,Power Dot France,Power Dot France,4.087793,48.30126
454.0,120.0,FRPD1PACTCHA,Power Dot France,Power Dot France,2.720592,48.009013
36.0,18.0,FRS77E77152001,Bouygues E&S,Ecocharge77,2.635144,48.515441
122.0,50.0,FRPD1PSCICHV,Power Dot France,Power Dot France,4.882617,44.906212
172.0,100.0,FRPD1PKFCMBL,Power Dot France,Power Dot France,4.056143,46.066287
547.0,187.5,FRPD1PSYUESS,Power Dot France,Power Dot France,6.82898,47.634806
952.0,200.0,FRPD1PCARSAI,Power Dot France,Power Dot France,4.087145,48.26672
966.0,100.0,FRPD1PACCVDA,Power Dot France,Power Dot France,3.143224,50.642391
344.0,100.0,FRPD1PSYUJVL,Power Dot France,Power Dot France,5.156966,48.446887
82.0,30.0,FRPD1PITMVLS,Power Dot France,Power Dot France,2.811149,48.375295
472.0,100.0,FRPD1PKFCASL,Power Dot France,Power Dot France,6.438623,46.352774
632.0,200.0,FRPD1PMRBCSC,Power Dot France,Power Dot France,4.964155,46.115984
8000.0,250.0,FRTSLP3439,Tesla,Tesla,47.9915,47.9915
2792.0,200.0,FRPD1PCORHOU,Power Dot France,Power Dot France,6.184486,48.639134
36.0,18.0,FRS77E77517001,Bouygues E&S,Ecocharge77,2.672179,48.900551
7000.0,250.0,FRTSLP16733,Tesla,Tesla,44.793792,44.793792
572.0,100.0,FRPD1PJJHPMD,Power Dot France,Power Dot France,-0.629655,44.954181
454.0,120.0,FRPD1PSTWLCV,Power Dot France,Power Dot France,-1.336876,46.66658
1324.0,160.0,FRPD1PSGNLFP,Power Dot France,Power Dot France,0.384154,45.751978
122.0,50.0,FRPD1PMBRCOL,Power Dot France,Power Dot France,7.340693,48.063703
1009.5,187.5,FRPD1PATLSGM,Power Dot France,Power Dot France,-1.231847,43.71288
122.0,50.0,FRPD1PITMCHV,Power Dot France,Power Dot France,0.333642,47.02149
472.0,200.0,FRPD1PCHAECH,Power Dot France,Power Dot France,5.694314,45.150182
322.0,100.0,FRPD1POPZWSH,Power Dot France,Power Dot France,7.599005,48.643763
122.0,50.0,FRPD1PSPASAZ,Power Dot France,Power Dot France,4.683839,43.947339
712.0,160.0,FRPD1PCAPORL,Power Dot France,Power Dot France,1.896237,47.898684
70.0,24.0,FRPD1PITMRLP,Power Dot France,Power Dot France,4.902254,45.818406
244.0,100.0,FRPD1PFLSTRB,Power Dot France,Power Dot France,0.056054,43.237038
472.0,150.0,FRPD1PIBSVSL,Power Dot France,Power Dot France,0.743332,44.407239
36.0,18.0,FRS77E77036001,Bouygues E&S,Ecocharge77,3.226534,48.684597
122.0,50.0,FRPD1PBDMMTL,Power Dot France,Power Dot France,4.745278,44.535391
412.0,120.0,FRPD1PRETAZA,Power Dot France,Power Dot France,0.474015,47.267582
432.0,120.0,FRPD1PBUFFAM,Power Dot France,Power Dot France,6.135302,49.246665
922.0,100.0,FRPD1PITMCHN,Power Dot France,Power Dot France,3.215919,49.626343
672.0,200.0,FRPD1PRTLPRV,Power Dot France,Power Dot France,4.606213,44.718272
672.0,200.0,FRPD1PMBRSFU,Power Dot France,Power Dot France,-1.173167,46.857958
122.0,50.0,FRPD1PSYUHAB,Power Dot France,Power Dot France,7.0397,49.08791
244.0,50.0,FRPD1PBRCRXB,Power Dot France,Power Dot France,1.105371,49.908234
322.0,100.0,FRPD1PITMEVR,Power Dot France,Power Dot France,1.181812,49.027548
3000.0,250.0,FRTSLP30183,Tesla,Tesla,45.461071,45.461071
572.0,100.0,FRPD1PIBSSTE,Power Dot France,Power Dot France,4.401322,45.455748
46.0,24.0,FRS77E77118002,Bouygues E&S,Ecocharge77,2.687649,48.945904
2000.0,250.0,FRTSLP30242,Tesla,Tesla,45.266392,45.266392
36.0,18.0,FRS77E77272001,Bouygues E&S,Ecocharge77,3.151188,48.558975
3000.0,250.0,FRTSLP28329,Tesla,Tesla,49.414263,49.414263
900.0,150.0,FRTSLP1750,Tesla,Tesla,45.698042,45.698042
394.0,100.0,FRPD1PMARLAU,Power Dot France,Power Dot France,4.025141,48.308282
502.0,120.0,FRPD1PACTLSL,Power Dot France,Power Dot France,2.85987,50.445673
1022.0,150.0,FRPD1PCORMDL,Power Dot France,Power Dot France,6.174964,49.259902
672.0,200.0,FRPD1PLAVGRA,Power Dot France,Power Dot France,-0.640931,44.774555
552.0,160.0,FRPD1PITMVRT,Power Dot France,Power Dot France,0.831174,47.350787
672.0,200.0,FRPD1PMBCCBO,Power Dot France,Power Dot France,-1.413818,43.355552
1032.1702500000001,200.0,FRPD1PMATARM,Power Dot France,Power Dot France,2.873278,50.682517
36.0,18.0,FRS77E77477001,Bouygues E&S,Ecocharge77,2.602099,48.342205
412.0,120.0,FRPD1PACTVDR,Power Dot France,Power Dot France,2.027079,44.358786
36.0,18.0,FRS77E77443001,Bouygues E&S,Ecocharge77,2.961653,48.885735
632.0,200.0,FRPD1PACCMAR,Power Dot France,Power Dot France,5.474741,43.300375
572.17025,100.0,FRPD1PIBSSHB,Power Dot France,Power Dot France,-1.619925,47.247918
1019.0,187.5,FRPD1PITMPLS,Power Dot France,Power Dot France,2.876375,42.641151
90.0,24.0,FRS77E77288005,Bouygues E&S,Ecocharge77,2.66658651658295,48.5308143918996
366.0,50.0,FRPD1PGSTAVI,Power Dot France,Power Dot France,4.867836,43.920486
459.5,187.5,FRPD1PCORDLS,Power Dot France,Power Dot France,7.496723,48.527606
36.0,18.0,FRS77E77357001,Bouygues E&S,Ecocharge77,3.079428,48.656075
772.0,100.0,FRPD1PINVCHA,Power Dot France,Power Dot France,4.396409,48.94234
222.0,100.0,FRPD1PMBRANO,Power Dot France,Power Dot France,2.943157,50.528533
272.0,100.0,FRPD1PINTMAR,Power Dot France,Power Dot France,5.76304,47.287445
122.0,50.0,FRPD1PITMCLC,Power Dot France,Power Dot France,-3.433383,48.407434
900.0,150.0,FRTSLP2986,Tesla,Tesla,48.057498,48.057498
122.0,50.0,FRPD1PCRFNNC,Power Dot France,Power Dot France,1.215217,48.764163
312.0,120.0,FRPD1PEPCMTB,Power Dot France,Power Dot France,1.373349,44.031969
4000.0,250.0,FRTSLP28780,Tesla,Tesla,46.836112,46.836112
122.0,50.0,FRPD1PIBISLO,Power Dot France,Power Dot France,5.557307,46.694336
632.0,200.0,FRPD1PMATCRI,Power Dot France,Power Dot France,2.475836,50.48419
1800.0,150.0,FRTSLP1753,Tesla,Tesla,49.216455,49.216455
1097.0,187.5,FRPD1PCORSTM,Power Dot France,Power Dot France,6.969748,48.271954
472.0,100.0,FRPD1PIBSMON,Power Dot France,Power Dot France,2.672649,47.9959
36.0,18.0,FRS77E77318001,Bouygues E&S,Ecocharge77,2.915816,48.789227
416.0,100.0,FRPD1PCORLPD,Power Dot France,Power Dot France,3.197296,45.779145
922.0,100.0,FRPD1PCORBRY,Power Dot France,Power Dot France,2.569712,50.493883
36.0,18.0,FRS77E77493001,Bouygues E&S,Ecocharge77,2.835405,48.644661
632.0,200.0,FRPD1PITSLPB,Power Dot France,Power Dot France,5.688301,45.529024
36.0,18.0,FRS77E77016001,Bouygues E&S,Ecocharge77,2.706278,48.231504
122.0,50.0,FRPD1PITMRET,Power Dot France,Power Dot France,4.029915,45.211154
244.0,50.0,FRPD1PCORMSY,Power Dot France,Power Dot France,2.276708,48.725267
36.0,18.0,FRS77E77089001,Bouygues E&S,Ecocharge77,2.971726,48.511906
36.0,18.0,FRS77E77531001,Bouygues E&S,Ecocharge77,2.969121,48.282539
672.0,200.0,FRPD1PLSETRC,Power Dot France,Power Dot France,1.800417,49.286719
600.0,150.0,FRTSLP1733,Tesla,Tesla,45.560908,45.560908
122.0,50.0,FRPD1PWAPBIA,Power Dot France,Power Dot France,0.69103,44.403765
36.0,18.0,FRS77E77524001,Bouygues E&S,Ecocharge77,3.165309,48.439373
1012.0,120.0,FRPD1PCORMET,Power Dot France,Power Dot France,6.227761,49.106266
3250.0,250.0,FRTSLP7139,Tesla,Tesla,46.377854,46.377854
264.0,60.0,FRPD1PBCMCEC,Power Dot France,Power Dot France,4.356305,48.978359
980.0,200.0,FRPD1PSYULGN,Power Dot France,Power Dot France,-0.59952,44.73295
72.0,50.0,FRPD1POPZETZ,Power Dot France,Power Dot France,7.652403,48.541461
672.0,200.0,FRPD1PMBRSVN,Power Dot France,Power Dot France,-1.933102,47.372259
7000.0,250.0,FRTSLP30513,Tesla,Tesla,43.80783,43.80783
1098.0,188.0,FRPD1PSYUBRC,Power Dot France,Power Dot France,2.600909,48.703179
36.0,18.0,FRS77E77101001,Bouygues E&S,Ecocharge77,3.096748,48.419575
1060.0,120.0,FRPD1PITMBLM,Power Dot France,Power Dot France,1.488649,43.614688
466.0,100.0,FRPD1PCORDOL,Power Dot France,Power Dot France,5.453758,47.065868
350.0,100.0,FRPD1PNETMRS,Power Dot France,Power Dot France,5.383585,43.327246
10000.0,250.0,FRTSLP28783,Tesla,Tesla,49.359966,49.359966
747.0,187.5,FRPD1PSYUFTY,Power Dot France,Power Dot France,5.979914,49.356349
1200.0,150.0,FRTSLP1742,Tesla,Tesla,47.282833,47.282833
632.0,200.0,FRPD1PSUUSLD,Power Dot France,Power Dot France,5.100082,47.291004
9000.0,250.0,FRTSLP31397,Tesla,Tesla,47.853468,47.853468
132.0,60.0,FRPD1PITMJLM,Power Dot France,Power Dot France,6.208286,48.669183
